Make,VIN,Output
Acura,NA213,5168
Acura,NA216,5168
Acura,NA213,5168
Acura,NA212,5168
Acura,NA123,5168
Acura,NA126,5168
Acura,NA216,5168
Acura,NA216,5168
Acura,NA126,5168
Acura,NA126,5168
Acura,NA216,5168
Acura,NA126,5168
Acura,NA216,5168
Acura,NA126,5168
Acura,NA216,5168
Acura,NA1,5168
Acura,NA1,5168
Acura,NA1,5168
Acura,NA1,5168
Acura,NC1B0,29566
Acura,TC.H,1871
Acura,TC1H[3567],1871
Acura,TC2H[3567],1871
Acura,TB182,1871
Acura,TB185,1871
Acura,TB182,1871
Acura,TB185,1871
Acura,TB182,1871
Acura,TB185,1871
Acura,TB1H2,1871
Acura,TB1H5,1871
Acura,TB2H2,1871
Acura,TB2H5,1871
Acura,TB1H2,1871
Acura,TB1H5,1871
Acura,TB2H2,1871
Acura,TB2H5,1871
Acura,TB[12]H[25],1871
Acura,TB[34]H[35],1871
Acura,TB[34]H[35],1871
Acura,TB[34]H[35],1871
Acura,TB[34]H[357],1871
Acura,TB[34]H[357],1871
Acura,TB[34]H[357],1871
Acura,TC2H[35679],1871
Acura,TC1H[3567],1871
Acura,TC1H[3567],1871
Acura,TC2H[35679],1871
Acura,KA9,1872
Acura,KB163,1872
Acura,KB165,1872
Acura,KB162,1872
Acura,KB163,1872
Acura,KB165,1872
Acura,KB166,1872
Acura,KB163,1872
Acura,KB165,1872
Acura,KB166,1872
Acura,KB2F3,1872
Acura,KB2F5,1872
Acura,KB2F6,1872
Acura,KB2F3,1872
Acura,KB2F5,1872
Acura,KB2F6,1872
Acura,KB2F3,1872
Acura,KB2F5,1872
Acura,KB2F6,1872
Acura,KA963,1872
Acura,KA964,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,KB16[235],1872
Acura,KB26[356],1872
Acura,KC1F3,2149
Acura,KC1F5,2149
Acura,KC1F7,2149
Acura,KC1F9,2149
Acura,KC2F9,2149
Acura,KC2F5,2149
Acura,KC1F3,2149
Acura,KC1F7,2149
Acura,KC1F9,2149
Acura,KC1F5,2149
Acura,KC1F[359],2149
Acura,KC2F[59],2149
Acura,KC1F5,2149
Acura,KC2F9,2149
Acura,KC1F5,2149
Acura,KC2F9,2149
Acura,KC1F5,2149
Acura,KC2F9,2149
Acura,DC538,3183
Acura,DC548,3183
Acura,DC530,3183
Acura,DC546,3183
Acura,DC530,3183
Acura,DC538,3183
Acura,DC548,3183
Acura,DC530,3183
Acura,DC538,3183
Acura,DC548,3183
Acura,DC536,3183
Acura,DC538,3183
Acura,DC548,3183
Acura,DC530,3183
Acura,DC5[34]8,3183
Acura,DC530,3183
Acura,UA2,1873
Acura,UA3,1873
Acura,UA2,1873
Acura,UA3,1873
Acura,UA7[56][56],1873
Acura,UA662,1873
Acura,UA564,1873
Acura,UA565,1873
Acura,UA566,1873
Acura,UA567,1873
Acura,UA566,1873
Acura,UA567,1873
Acura,UA568,1873
Acura,UA569,1873
Acura,UA566,1873
Acura,UA567,1873
Acura,UA568,1873
Acura,UA569,1873
Acura,UA65[56],1873
Acura,UA662,1873
Acura,UA662,1873
Acura,UA65[56],1873
Acura,UA662,1873
Acura,UA75[56],1873
Acura,UA76[56],1873
Acura,UA8F2,1873
Acura,UA8F5,1873
Acura,UA9F2,1873
Acura,UA9F5,1873
Acura,UA9E5,1873
Acura,UA8F2,1873
Acura,UA8F5,1873
Acura,UA9E5,1873
Acura,UA9F2,1873
Acura,UA9F5,1873
Acura,UA264,1873
Acura,UA265,1873
Acura,UA[89]6[25],1873
Acura,UA9E5,1873
Acura,UA[89]F[257],1873
Acura,UA8F3,1873
Acura,UA[89]F[257],1873
Acura,UA9E5,1873
Acura,UA[89]F[257],1873
Acura,UA8F3,1873
Acura,UA9E5,1873
Acura,UB[56]F[3456],5354
Acura,UB7F[09],29419
Acura,UB7F[09],29419
Acura,UB[56]F[3-6],5354
Acura,UB3F5,5354
Acura,UB3F8,5354
Acura,UB3F4,5354
Acura,UB2F8,5354
Acura,UB2F3,5354
Acura,UB1F3,5354
Acura,UB1F5,5354
Acura,UB3F6,5354
Acura,UB3F3,5354
Acura,UB2F6,5354
Acura,UB1F6,5354
Acura,UB2F4,5354
Acura,UB1F3,5354
Acura,UB1F5,5354
Acura,UB1F6,5354
Acura,UB2F3,5354
Acura,UB2F4,5354
Acura,UB2F6,5354
Acura,UB2F8,5354
Acura,UB3F3,5354
Acura,UB3F4,5354
Acura,UB3F6,5354
Acura,UB3F8,5354
Acura,UB3F5,5354
Acura,UB3F3,5354
Acura,UB1F3,5354
Acura,UB1F5,5354
Acura,UB2F3,5354
Acura,UB2F5,5354
Acura,UB2F7,5354
Acura,UB3F5,5354
Acura,UB3F7,5354
Acura,UB3F6,5354
Acura,UB3F3,5354
Acura,UB2F6,5354
Acura,UB3F7,5354
Acura,UB3F5,5354
Acura,UB2F7,5354
Acura,UB2F5,5354
Acura,UB1F3,5354
Acura,UB1F5,5354
Acura,UB2F3,5354
Acura,CL9[56][89],1874
Acura,CL958,1874
Acura,CL959,1874
Acura,CL968,1874
Acura,CL969,1874
Acura,CU4F4,1874
Acura,CU4F6,1874
Acura,CU2E6,1874
Acura,CU2F6,1874
Acura,CU2E6,1874
Acura,CU2F6,1874
Acura,CU4F4,1874
Acura,CU4F6,1874
Acura,CW2H5,1874
Acura,CW2H6,1874
Acura,CL9[56][89],1874
Acura,CL9[56][89],1874
Acura,CU2[56]6,1874
Acura,CU4F[46],1874
Acura,CU2[EF][4568],1874
Acura,CW2H[56],1874
Acura,CU2E8,1874
Acura,CU2F[4568],1874
Acura,CU4F[46],1874
Acura,CW2H[56],1874
Acura,CU2E8,1874
Acura,CU2F[468],1874
Acura,CU4F[46],1874
Acura,CW2H[56],1874
Acura,CC2,11495
Acura,CC2,11495
Acura,CC2,11495
Acura,YB1H2,1867
Acura,YB1H4,1867
Acura,YB1H6,1867
Acura,YB1H2,1867
Acura,YB1H4,1867
Acura,YB1H6,1867
Acura,YB1H[246],1867
Acura,YB1H6,1867
Alfa Romeo,.AA[A-D],2035
Alfa Romeo,.AE[A-H],10326
Alfa Romeo,.AA[A-D],2035
Alfa Romeo,.AE[A-H],10326
Alfa Romeo,.A[MN][ABE],10326
Alfa Romeo,.AA[A-D],2035
Alfa Romeo,.AE[A-E],10326
Alfa Romeo,.AA[A-D],2035
Alfa Romeo,.AE[A-E],10326
Alfa Romeo,.A[MN][ABE],10326
Alfa Romeo,JA1,2344
Alfa Romeo,JA2,2344
Alfa Romeo,.AM[ABE],10326
Alfa Romeo,.AN[AB],10326
Alfa Romeo,.AK[A-ENPR],18005
Alfa Romeo,.AJ[AP],18005
Alfa Romeo,.AJA,18005
Alfa Romeo,.AK[ABE],18005
Alfa Romeo,.AK[ABE],18005
Alfa Romeo,.AJA,18005
Alfa Romeo,.AJA,18005
Alfa Romeo,.AK[ABE],18005
Alfa Romeo,.AJA,18005
Alfa Romeo,.AK[ABE],18005
Alfa Romeo,.AK[ABE],18005
Alfa Romeo,.AJA,18005
Alfa Romeo,.AM[ABE],10326
Alfa Romeo,.AN[AB],10326
Alfa Romeo,.AM[ABE],10326
Alfa Romeo,.AN[AB],10326
Alfa Romeo,B,14326
Alfa Romeo,D,14328
Alfa Romeo,.AA[A-D],2035
Alfa Romeo,AA669,14330
Alfa Romeo,BA541,14326
Alfa Romeo,ED33A,9953
Alfa Romeo,DB140,14328
Alfa Romeo,DB138,14328
Alfa Romeo,ED33E,9953
Alfa Romeo,ED33R,9953
Alfa Romeo,ED34E,9953
Alfa Romeo,ED43A,9953
Alfa Romeo,DB142,14328
Alfa Romeo,BC578,14326
Alfa Romeo,BC576,14326
Alfa Romeo,BC570,14326
Alfa Romeo,BC558,14326
Alfa Romeo,DA124,14328
Alfa Romeo,DA136,14328
Alfa Romeo,DA116,14328
Alfa Romeo,DA114,14328
Alfa Romeo,BB43G,14326
Alfa Romeo,BC556,14326
Alfa Romeo,BB42N,14326
Alfa Romeo,BA564,14326
Alfa Romeo,BB32G,14326
Alfa Romeo,BB32N,14326
Alfa Romeo,AA669,14330
Alfa Romeo,BA541,14326
Alfa Romeo,ED33A,9953
Alfa Romeo,DB140,14328
Alfa Romeo,DB142,14328
Alfa Romeo,ED33E,9953
Alfa Romeo,ED33R,9953
Alfa Romeo,ED34E,9953
Alfa Romeo,ED43A,9953
Alfa Romeo,BC576,14326
Alfa Romeo,DA114,14328
Alfa Romeo,BC570,14326
Alfa Romeo,BC558,14326
Alfa Romeo,DA116,14328
Alfa Romeo,DA124,14328
Alfa Romeo,DA136,14328
Alfa Romeo,DB138,14328
Alfa Romeo,BB43G,14326
Alfa Romeo,BC556,14326
Alfa Romeo,BB42N,14326
Alfa Romeo,BA564,14326
Alfa Romeo,BB32G,14326
Alfa Romeo,BB32N,14326
Alfa Romeo,BC578,14326
Alfa Romeo,BA556,14326
Alfa Romeo,BA558,14326
Alfa Romeo,D,14328
Alfa Romeo,B,14326
Alfa Romeo,DA114,14328
Alfa Romeo,DA116,14328
Alfa Romeo,DA124,14328
Alfa Romeo,DA136,14328
Alfa Romeo,DB138,14328
Alfa Romeo,DB140,14328
Alfa Romeo,DB142,14328
Alfa Romeo,BC558,14326
Alfa Romeo,ED33E,9953
Alfa Romeo,ED33R,9953
Alfa Romeo,ED34E,9953
Alfa Romeo,ED43A,9953
Alfa Romeo,BB42N,14326
Alfa Romeo,BB43G,14326
Alfa Romeo,ED33A,9953
Alfa Romeo,BB32G,14326
Alfa Romeo,BB32N,14326
Alfa Romeo,BA564,14326
Alfa Romeo,BC556,14326
Alfa Romeo,BB42N,14326
Alfa Romeo,BC558,14326
Alfa Romeo,BB43G,14326
Alfa Romeo,ED33R,9953
Alfa Romeo,ED34E,9953
Alfa Romeo,ED43A,9953
Alfa Romeo,ED33A,9953
Alfa Romeo,ED33E,9953
Alfa Romeo,BB32G,14326
Alfa Romeo,BB32N,14326
Alfa Romeo,BB42G,14326
Alfa Romeo,EA33A,9953
Alfa Romeo,EA33L,9953
Alfa Romeo,EA33E,9953
Alfa Romeo,EA43A,9953
Alfa Romeo,EA43L,9953
Alfa Romeo,BB32G,14326
Alfa Romeo,BB32N,14326
Alfa Romeo,ED33A,9953
Alfa Romeo,ED43A,9953
Alfa Romeo,ED33E,9953
Alfa Romeo,ED33R,9953
Alfa Romeo,ED34E,9953
Alfa Romeo,E,9953
Alfa Romeo,.AA[A-D],2035
Alfa Romeo,.AEA,10326
Alfa Romeo,.AA[A-D],2035
Aston Martin,RMFAV|.GL,13751
Aston Martin,.....|..A[0-9],1687
Aston Martin,.....|..B[0-9],1687
Aston Martin,VUJAW|..V,27591
Aston Martin,..J[AB]W,27591
Aston Martin,..FA.|.GL,13751
Aston Martin,..FC.|.GM,13751
Aston Martin,..GA.|..N5,14162
Aston Martin,..GB.|..P5,14162
Aston Martin,..HAV|..R,1686
Aston Martin,..HCV|..T,1686
Aston Martin,S.GA.|..N,14162
Aston Martin,S.GB.|..P,14162
Aston Martin,..FA,13751
Aston Martin,..C[JKLM],19609
Aston Martin,..C[PRT],19610
Aston Martin,..FA.|..L,13751
Aston Martin,..FC.|..M,13751
Aston Martin,..GA.|..N,1684
Aston Martin,..FE.|..L,13751
Aston Martin,..DH.|..R,1688
Aston Martin,..CU.|..J5,19610
Aston Martin,..HA.|..R,1686
Aston Martin,..G[AC].|..N,14162
Aston Martin,UMHEV,1686
Aston Martin,..HA.|..R,1686
Aston Martin,..HC.|..T,1686
Aston Martin,..FA.|..L,13751
Aston Martin,..FC.|..M,13751
Aston Martin,..FE.|..L,13751
Aston Martin,..F[AE].|..L,13751
Aston Martin,..FC.|..M,13751
Aston Martin,..HA.|..R,1686
Aston Martin,..HC.|..T,1686
Aston Martin,..GA.|..N,14162
Aston Martin,..GB.|..P,14162
Aston Martin,..JA.|..V,27591
Aston Martin,.S,14162
Aston Martin,..FA.|.GL,13751
Aston Martin,..FC.|.GM,13751
Aston Martin,..HAV|..R,1686
Aston Martin,..HCV|..T,1686
Aston Martin,S.GA.|..N,14162
Aston Martin,S.GB.|..P,14162
Aston Martin,..GA.|..N5,14162
Aston Martin,..GB.|..P5,14162
Aston Martin,.....|..F,1688
Aston Martin,.....|..F,1688
Aston Martin,....C,14164
Aston Martin,....L,14157
Aston Martin,....S,14157
Aston Martin,....V,14162
Aston Martin,....C,14164
Aston Martin,....L,14157
Aston Martin,....S,14157
Aston Martin,....C,14164
Aston Martin,....L,14157
Aston Martin,....S,14157
Aston Martin,....V,1684
Aston Martin,.AM,1697
Aston Martin,.LO,14157
Aston Martin,.AM,1697
Aston Martin,..01,1687
Aston Martin,..02,1687
Aston Martin,..03,1684
Aston Martin,..04,1684
Aston Martin,.....|..[AB][0-9],1687
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..E0,1686
Aston Martin,.....|..[AB][0-9],1687
Aston Martin,.....|..F,1688
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..E[01],1686
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..E[01],1686
Aston Martin,.....|..[AB][0-9],1687
Aston Martin,.....|..F,1688
Aston Martin,.....|..S0,1695
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..E[01],1686
Aston Martin,.....|..[AB][0-9],1687
Aston Martin,.....|..F,1688
Aston Martin,.....|..S0,1695
Aston Martin,.....|..[GH],1697
Aston Martin,.....|..S0,1695
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..[AB][0-9],1687
Aston Martin,.....|..F,1688
Aston Martin,.....|..[JK],1701
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..[AB],1687
Aston Martin,.....|..S[02],1695
Aston Martin,.....|..[JK],1701
Aston Martin,.....|..F,1688
Aston Martin,.....|..[AB][0-9],1687
Aston Martin,.....|..[CD],1684
Aston Martin,.....|..S[02],1695
Aston Martin,.....|..S[02],1695
Aston Martin,.....|..C,1684
Aston Martin,.....|..D,1684
Aston Martin,.....|..[JK],1701
Aston Martin,.....|..[JK][0-9],1701
Audi,[BCDEFG]..8D,3146
Audi,[ABD]..4B,3148
Audi,[AB]..4D,3151
Audi,[CMW]F.FH,3787
Audi,[CV][G6].FH,3788
Audi,[CGMSW4]F.FR,3787
Audi,[CGV3][G6].FR,3788
Audi,[W2][R2].FC,8258
Audi,[W2][FGM].FC,4015
Audi,[LDW]..FP,3862
Audi,...FE,3679
Audi,...FS,4051
Audi,...FL,13759
Audi,[CV][CF8M].FP,3862
Audi,[CV]G.FP,4052
Audi,...FL,13759
Audi,[LDW]..FP,3862
Audi,...FS,4051
Audi,[CV]C.FP,4052
Audi,[CV][GV27].FP,3862
Audi,...F7,3679
Audi,...FS,4051
Audi,.[27].FP,3862
Audi,.C.FP,4052
Audi,...F4,13759
Audi,[ABC]N.FY,3862
Audi,[ABC]4.FY,4052
Audi,[789]..F4,13759
Audi,...F7,3679
Audi,[BEHJ]..FS,4051
Audi,[ABDEF]..F3,4051
Audi,[LV]..GE,25874
Audi,...F1,25317
Audi,...F7,3679
Audi,[BEHJ]..FS,4051
Audi,[ABC]4.FY,4052
Audi,[ABC]N.FY,3862
Audi,[789]..F4,13759
Audi,[23]A[AB]GE,27819
Audi,AR.F1,27403
Audi,AW.F1,27402
Audi,AW.F7,27401
Audi,VW.F7,27401
Audi,[ABC]N.FY,3862
Audi,[LV]..GE,25874
Audi,[BEHJ]..FS,4051
Audi,[ABDEF]..F3,4051
Audi,...F7,3679
Audi,...F1,25317
Audi,[789]..F4,13759
Audi,[ABC]4.FY,4052
Audi,[GEF]..FY,27029
Audi,[123]4.FY,4052
Audi,DU.F3,4051
Audi,EU.F3,4051
Audi,A[UE][CD]F3,4051
Audi,B[UE][CD]F3,4051
Audi,[GEF]2.FY,27029
Audi,VW.F7,27401
Audi,AV.F1,25317
Audi,AW.F1,27402
Audi,AR.F1,27403
Audi,BV.F1,25317
Audi,CV.F1,25317
Audi,CW.F1,27402
Audi,EV.F1,25317
Audi,FV.F1,25317
Audi,[789]..F4,13759
Audi,[ABC]A.FY,3862
Audi,[ABC]4.FY,4052
Audi,[123]A.GE,27819
Audi,[ALV]A.GE,25874
Audi,DE.F3,4051
Audi,EE.F3,4051
Audi,AJ.F7,3679
Audi,AX.F7,3679
Audi,AW.F7,27401
Audi,LJ.F7,3679
Audi,LX.F7,3679
Audi,VX.F7,3679
Audi,[456]A.FY,3862
Audi,VX.F7,3679
Audi,LX.F7,3679
Audi,FV.F1,25317
Audi,VW.F7,27401
Audi,LJ.F7,3679
Audi,EE.F3,4051
Audi,EV.F1,25317
Audi,BV.F1,25317
Audi,CV.F1,25317
Audi,CW.F1,27402
Audi,DE.F3,4051
Audi,AX.F7,3679
Audi,AV.F1,25317
Audi,AW.F1,27402
Audi,AW.F7,27401
Audi,B[UE][CD]F3,4051
Audi,AJ.F7,3679
Audi,AR.F1,27403
Audi,A[UE][CD]F3,4051
Audi,[123]A.GE,27819
Audi,[456]A[AB]FY,3862
Audi,[789]..F4,13759
Audi,[BDE][UE].F3,4051
Audi,[GEF]A[AB]FY,3862
Audi,[ABCEF]V[AB]F1,25317
Audi,[ALV]A[AB]GE,25874
Audi,[23]CBGE,27819
Audi,[LV]CBGE,25874
Audi,[789]A[AB]F4,13759
Audi,[GKHLJM]2BFZ,29351
Audi,[1-4VW]2BFZ,29351
Audi,[ABC123]4[AB]FY,4052
Audi,[GEF]2[AB]FY,3862
Audi,[123]A[AB]GE,27819
Audi,[ABC]A.FY,3862
Audi,[ABC][BA][AB]FY,3862
Audi,[ADHK]D.8D,3147
Audi,DD.8D,3147
Audi,[ADHK][CH].8D,3146
Audi,[BELZ]..4B,3148
Audi,F..4D,3151
Audi,[TU]..8N,3145
Audi,[FM]..4D,3151
Audi,[BELZ]..4B,3148
Audi,[RX]..8D,3147
Audi,[STWU]..8N,3145
Audi,G..4D,3678
Audi,Y..4B,3150
Audi,[ADHK]..8D,3146
Audi,[2WY]4.F5,3788
Audi,[ABC][AB].F4,3146
Audi,[ABC]4.F4,3147
Audi,[DEF]..F4,3146
Audi,[DEF]..F5,3787
Audi,[DF]F.F2,3677
Audi,[NPR]4AF5,3788
Audi,[PRSUV]2.F2,4015
Audi,[PS]F.F2,8258
Audi,[STU]AAF5,3787
Audi,[TV]PBF2,4015
Audi,1..F2,3149
Audi,7..F2,27028
Audi,8..F8,3678
Audi,8[DE].F8,3151
Audi,8HBF8,3151
Audi,9..F2,27028
Audi,A1AFV,3861
Audi,AEAFV,3145
Audi,ASAFV,4016
Audi,B[AB]AFX,3789
Audi,B[AB]CFX,3789
Audi,NWAF5,4014
Audi,P..F2,8685
Audi,TECFV,3145
Audi,[AB]H.FW,28998
Audi,[CDEF]J.FW,29994
Audi,[ABC]B[AB]F4,3146
Audi,[CK4]..FX,3789
Audi,[ABCGHJ]U[CD]GY,3676
Audi,[2WY]4GF5,3788
Audi,[2WY]AGF5,3787
Audi,[ABC]B[CD]F5,3787
Audi,[ABC]4[CD]F5,3788
Audi,[DEKLM][23][AB]F2,3148
Audi,[79]2[AB]F2,27028
Audi,[TV]P[AB]F2,4015
Audi,[PRSUV]2[AB]F2,4015
Audi,[GHJ]3[CD]GY,8173
Audi,[DEF][AB][AB]F4,3146
Audi,[DEF][AB][CD]F5,3787
Audi,[ACB]W[CD]F5,4014
Audi,[PS]F[AB]F2,8258
Audi,[DF]F[AB]F2,3677
Audi,[ABC]4[AB]F4,3147
Audi,LDAF8,29708
Audi,LDBF8,29708
Audi,LSBF8,3678
Audi,LSAF8,3678
Audi,G4[CD]GY,16783
Audi,[ABC]A.F5,3787
Audi,.4CGY,16783
Audi,[NPR]N.F5,3787
Audi,[4-7YW]..FF,3676
Audi,[AGHBFJK][UE].FF,3676
Audi,[BF]1.FF,8173
Audi,[CG]..FR,3788
Audi,[DEKLM]..F2,3148
Audi,[DEFGHJ]..F4,3146
Audi,[PRSUV]..F2,4015
Audi,8..F8,3151
Audi,[DH]..FR,3787
Audi,T..FV,3145
Audi,C..FH,3788
Audi,D..FH,3787
Audi,[ABC]..F4,3147
Audi,[A-F]N.F5,3787
Audi,[ABC]4.F5,3788
Audi,W..F5,3787
Audi,[Y2]N.F5,3787
Audi,[Y2]4.F5,3788
Audi,[STU]..F5,3787
Audi,[NPR]4.F5,3788
Audi,BW.FF,16783
Audi,AE.FV,3145
Audi,A1.FV,3861
Audi,[UTS]..FF,3676
Audi,[BCPR]W.F5,4014
Audi,AS.FV,4016
Audi,[DEF]..F2,3148
Audi,TE.FV,3145
Audi,[PRSUV]F.F2,8258
Audi,8[DE].F8,3151
Audi,8H.F8,27122
Audi,[79]..F2,27028
Audi,[4-7YW]..FF,3676
Audi,[ABC]..F4,3147
Audi,[ABC]N.F5,3787
Audi,[ABC]4.F5,3788
Audi,[ABCGHJK][UE].FF,3676
Audi,[BF]1.FF,8173
Audi,[CG]..FR,3788
Audi,[BP]W.F5,4014
Audi,[DEFGHJ]..F4,3146
Audi,[KLM]..F2,3148
Audi,[DH]..FR,3787
Audi,[NPR]..F5,3788
Audi,[PRSUV]2.F2,4015
Audi,8S.F8,3678
Audi,[STU]..F5,3787
Audi,[2WY]4.F5,3788
Audi,A1.FV,3861
Audi,[2WY]N.F5,3787
Audi,AE.FV,3145
Audi,AS.FV,4016
Audi,BW.FF,16783
Audi,T..FV,3145
Audi,C..FH,3788
Audi,D..FH,3787
Audi,W..F5,3787
Audi,E..FF,8173
Audi,[EF]..F5,3787
Audi,[EK][EB]AFX,3789
Audi,[V4][EB]CFX,3789
Audi,[ABC]4[CD]F5,3788
Audi,[ABC][AB][CD]F5,3787
Audi,[DEF][AB][CD]F5,3787
Audi,7..F2,27028
Audi,9..F2,27028
Audi,1..F2,3149
Audi,P..F2,8685
Audi,8..F8,3678
